id_publicacion,titulo,año,area_ia,palabra_clave,venue,tipo_venue,numero_citas,nombre_autor,orden_autor,nombre_institucion,pais_institucion
PUB001,Modelos multimodales aplicados a banca digital,2024,IA Generativa,prompt engineering,Computación y Sistemas,Revista,7,Diego Vargas,1,Universidad Politécnica de Madrid,España
PUB001,Modelos multimodales aplicados a banca digital,2024,IA Generativa,prompt engineering,Computación y Sistemas,Revista,7,Renata Villanueva,2,Universidad de Barcelona,España
PUB001,Modelos multimodales aplicados a banca digital,2024,IA Generativa,prompt engineering,Computación y Sistemas,Revista,7,Paula Bustamante,3,Stanford University,Estados Unidos
PUB001,Modelos multimodales aplicados a banca digital,2024,IA Generativa,prompt engineering,Computación y Sistemas,Revista,7,Andrea Salas,4,Universidad de Buenos Aires,Argentina
PUB002,Personalización de contenido en plataformas de agricultura,2024,Sistemas de Recomendación,ranking,KDD,Conferencia,19,Diego Vargas,1,Universidad Politécnica de Madrid,España
PUB002,Personalización de contenido en plataformas de agricultura,2024,Sistemas de Recomendación,ranking,KDD,Conferencia,19,Joaquín Espinoza,2,Universidad de Barcelona,España
PUB002,Personalización de contenido en plataformas de agricultura,2024,Sistemas de Recomendación,ranking,KDD,Conferencia,19,Olivia Brown,3,Universidad de Barcelona,España
PUB002,Personalización de contenido en plataformas de agricultura,2024,Sistemas de Recomendación,ranking,KDD,Conferencia,19,Juan Torres,4,Universidad de Lima,Perú
PUB002,Personalización de contenido en plataformas de agricultura,2024,Sistemas de Recomendación,ranking,KDD,Conferencia,19,Gabriela Morales,5,Universidad de Buenos Aires,Argentina
PUB003,Predicción de fraude bancario mediante aprendizaje automático,2024,Machine Learning,random forest,CLEI,Conferencia,33,Jian Wang,1,Universidad Politécnica de Madrid,España
PUB003,Predicción de fraude bancario mediante aprendizaje automático,2024,Machine Learning,random forest,CLEI,Conferencia,33,Rodrigo Cárdenas,2,Universidad de Buenos Aires,Argentina
PUB004,Predicción de enfermedades mediante aprendizaje automático,2025,Machine Learning,XGBoost,NeurIPS,Conferencia,0,Alejandro Soto,1,Universidad de los Andes,Colombia
PUB004,Predicción de enfermedades mediante aprendizaje automático,2025,Machine Learning,XGBoost,NeurIPS,Conferencia,0,Isabella Núñez,2,University of California Berkeley,Estados Unidos
PUB005,Modelo predictivo para noticias periodísticas,2022,Machine Learning,interpretabilidad,JIISIC,Conferencia,68,Hugo Carrasco,1,Pontificia Universidad Católica de Chile,Chile
PUB005,Modelo predictivo para noticias periodísticas,2022,Machine Learning,interpretabilidad,JIISIC,Conferencia,68,Liam Anderson,2,Universidad del Pacífico,Perú
PUB005,Modelo predictivo para noticias periodísticas,2022,Machine Learning,interpretabilidad,JIISIC,Conferencia,68,Felipe Cárcamo,3,ETH Zürich,Suiza
PUB005,Modelo predictivo para noticias periodísticas,2022,Machine Learning,interpretabilidad,JIISIC,Conferencia,68,Jian Wang,4,Universidad Politécnica de Madrid,España
PUB005,Modelo predictivo para noticias periodísticas,2022,Machine Learning,interpretabilidad,JIISIC,Conferencia,68,Joaquín Espinoza,5,Universidad de Barcelona,España
PUB006,Detección de anomalías en banca digital,2024,Machine Learning,XGBoost,Computación y Sistemas,Revista,25,Alejandro Soto,1,Universidad de los Andes,Colombia
